item_id,order_id,product_id,quantity,unit_price,discount_percent
I00056,O04272,P101,5,44442,42
I00057,O03469,P232,4,27292,35
I00058,O06985,P013,3,21739,40
I00059,O05988,P489,1,11749,34
I00060,O05824,P311,3,39506,38
I00061,O09005,P321,1,44655,37
I00062,O00793,P455,2,39941,38
I00063,O00148,P095,5,17993,49
I00064,O05992,P175,3,20383,18
I00065,O04073,P137,5,32651,30
I00066,O07136,P033,4,8102,9
I00067,O09808,P023,4,47126,12
I00068,O06500,P050,4,17584,25
I00069,O01491,P110,1,8470,23
I00070,O03300,P384,4,16841,16
I00071,O07532,P326,4,19792,0
I00072,O01220,P046,2,46585,31
I00073,O03788,P023,5,22190,35
I00074,O04474,P108,3,23696,17
I00075,O02579,P337,5,3846,25
I00076,O05091,P095,4,38203,12
I00077,O07680,P437,5,795,5
I00078,O09659,P089,3,29871,32
I00079,O09260,P262,3,1838,45
I00080,O06055,P242,1,31993,42
I00081,O06686,P454,3,6683,4
I00082,O06481,P409,5,6951,21
I00083,O08849,P340,3,5944,11
I00084,O01547,P356,2,35686,36
I00085,O09926,P106,2,3897,9
I00086,O03626,P089,4,44239,14
I00087,O04499,P331,3,49809,33
I00088,O03316,P483,2,39682,27
I00089,O08858,P281,1,22218,19
I00090,O04249,P040,4,30806,36
I00091,O05682,P065,3,5092,39
I00092,O03880,P278,3,43017,6
I00093,O04368,P112,4,13510,13
I00094,O00359,P188,2,1894,19
I00095,O00932,P475,5,43964,5
I00096,O07557,P039,4,44211,9
I00097,O01025,P315,5,29410,21
I00098,O08275,P095,5,13753,16
I00099,O01208,P098,1,40113,44
I00100,O09699,P310,4,36340,32
I00101,O06014,P028,3,43436,24
I00102,O05069,P386,3,13582,13
I00103,O01722,P061,3,34290,8
I00104,O02917,P397,3,17903,38
I00105,O02330,P490,4,18668,24
I00106,O04871,P110,4,12596,40
I00107,O00414,P490,3,35222,29
I00108,O03890,P227,4,47958,18
I00109,O04821,P382,4,41100,48
I00110,O08342,P164,2,30919,27
I00111,O09930,P065,4,34559,5
I00112,O05328,P050,1,2146,33
I00113,O02571,P028,5,44579,18
I00114,O00217,P363,3,45802,27
I00115,O08142,P142,1,16443,5
I00116,O09867,P062,1,48365,1
I00117,O06411,P140,1,48802,6
I00118,O01859,P345,2,29248,44
I00119,O00017,P037,2,1300,13
I00120,O05826,P459,5,6602,19
I00121,O01420,P391,5,36996,18
I00122,O02345,P101,3,28739,47
I00123,O02025,P270,5,24252,37
I00124,O05192,P098,5,349,13
I00125,O08127,P139,4,3779,16
I00126,O07397,P050,4,15440,1
I00127,O05164,P127,2,1626,14
I00128,O06146,P293,1,24655,39
I00129,O08317,P316,1,28225,28
I00130,O02962,P286,1,14112,44
I00131,O08649,P357,2,29796,25
I00132,O04152,P176,3,26831,35
I00133,O09944,P345,2,30346,26
I00134,O07785,P442,3,17555,13
I00135,O07114,P267,3,13656,45
I00136,O05934,P082,1,19943,12
I00137,O07711,P372,2,802,47
I00138,O00023,P009,5,1318,23
I00139,O08407,P462,5,26325,15
I00140,O07891,P136,3,16070,36
I00141,O02166,P068,5,8805,14
I00142,O04782,P190,3,15593,48
I00143,O06916,P448,1,46038,18
I00144,O07266,P348,3,22203,46
I00145,O04421,P190,5,47679,44
I00146,O09353,P482,5,37005,39
I00147,O07717,P421,2,19752,41
I00148,O02879,P394,2,22021,1
I00149,O03655,P315,3,15332,32
I00150,O09816,P287,5,39176,38
I00151,O06020,P028,3,19001,28
I00152,O09138,P267,2,17355,41
I00153,O08732,P430,5,36867,1
I00154,O04267,P422,4,7688,33
I00155,O00033,P242,5,1258,2
I00156,O06791,P202,2,396,31
I00157,O02242,P455,5,31190,24
I00158,O05450,P084,2,6058,21
I00159,O05002,P183,1,3060,19
I00160,O09569,P113,5,11088,1
I00161,O09921,P210,5,32900,33
I00162,O02381,P329,5,29058,36
I00163,O03041,P401,1,19923,43
I00164,O05676,P352,3,33436,42
I00165,O02979,P353,3,4365,43
I00166,O00407,P405,4,12758,46
I00167,O09344,P001,1,36861,36
I00168,O06424,P005,3,28147,14
I00169,O00857,P473,3,28909,47
I00170,O03097,P257,5,37243,45
I00171,O04517,P431,5,7979,15
I00172,O08533,P342,4,21746,15
I00173,O00519,P371,1,27902,10
I00174,O09715,P228,1,39626,23
I00175,O07894,P491,2,9701,40
I00176,O06347,P299,2,42311,30
I00177,O09468,P265,2,38073,29
I00178,O04353,P497,1,30072,24
I00179,O09569,P300,4,1597,6
I00180,O05538,P448,4,14636,22
I00181,O09657,P482,2,13396,33
I00182,O02269,P398,5,39477,1
I00183,O06388,P220,3,34485,30
I00184,O09376,P161,4,28013,7
I00185,O08302,P277,1,30035,32
I00186,O09560,P482,4,37154,19
I00187,O05579,P297,4,9986,37
I00188,O00547,P196,4,33859,0
I00189,O06055,P394,5,21896,1
I00190,O08292,P496,3,4206,50
I00191,O06295,P152,1,6863,13
I00192,O02469,P001,5,7735,30
I00193,O03862,P041,3,1352,17
I00194,O09351,P032,3,13636,33
I00195,O06093,P142,2,39897,14
I00196,O06489,P257,5,27042,18
I00197,O02357,P491,3,12958,19
I00198,O02033,P394,5,3403,23
I00199,O04235,P427,3,5398,3
I00200,O00668,P020,4,45873,23
I00201,O00410,P381,3,41550,35
I00202,O07493,P482,3,34521,38
I00203,O03529,P465,1,25406,42
I00204,O05641,P369,1,23563,15
I00205,O04772,P263,2,42428,42
I00206,O01084,P218,4,17883,7
I00207,O07649,P198,5,26886,37
I00208,O00701,P396,2,42011,46
I00209,O00996,P199,4,25507,44
I00210,O09969,P264,2,19409,22
I00211,O07036,P137,3,22448,7
I00212,O05322,P154,3,33776,30
I00213,O01694,P016,4,15713,25
I00214,O01841,P040,3,35985,50
I00215,O04498,P395,5,30912,23
I00216,O09680,P266,5,38469,19
I00217,O03713,P190,1,5247,11
I00218,O09339,P181,4,24368,12
I00219,O03403,P275,1,10877,45
I00220,O06173,P025,5,8939,1
I00221,O01147,P390,1,25122,13
I00222,O00777,P022,3,16417,19
I00223,O07684,P405,3,3731,42
I00224,O00466,P178,3,2506,30
I00225,O00832,P445,4,29288,4
I00226,O01305,P161,2,27930,48
I00227,O06743,P031,4,19617,12
I00228,O08534,P119,2,18158,23
I00229,O07912,P261,1,292,3
I00230,O06891,P205,3,45627,1
I00231,O00604,P120,3,48610,32
I00232,O05131,P377,4,5165,39
I00233,O02489,P240,4,30337,37
I00234,O06016,P127,4,29825,32
I00235,O02071,P025,3,23174,12
I00236,O08960,P203,5,8827,32
I00237,O01886,P472,4,41480,0
I00238,O01864,P457,3,39997,21
I00239,O05458,P467,5,36750,38
I00240,O07551,P367,3,43412,9
I00241,O06975,P049,2,40232,25
I00242,O06915,P489,1,8150,26
I00243,O03546,P056,5,5880,13
I00244,O03288,P316,2,13544,43
I00245,O08611,P375,3,2600,10
I00246,O01700,P358,1,12333,49
I00247,O08716,P066,1,24994,23
I00248,O03454,P370,4,18124,30
I00249,O06428,P448,4,5875,13
I00250,O06717,P270,1,4948,34
I00251,O06760,P321,2,22394,24
I00252,O02292,P486,1,10139,20
I00253,O07386,P438,3,3353,3
I00254,O03744,P286,1,39411,50
I00255,O09020,P146,3,36723,3
I00256,O01980,P246,2,20208,50
I00257,O08103,P058,1,8201,22
I00258,O00753,P225,2,8622,48
I00259,O06649,P090,4,12161,9
I00260,O04259,P232,3,18530,23
I00261,O07414,P500,4,43412,10
I00262,O05148,P068,3,39209,48
I00263,O02356,P150,3,8815,4
I00264,O02895,P273,3,9734,44
I00265,O07044,P381,4,30550,46
I00266,O00590,P216,2,35296,2
I00267,O00968,P186,1,11510,48
I00268,O07553,P304,3,16410,45
I00269,O02806,P373,5,49514,28
I00270,O00188,P295,5,15685,1
I00271,O07352,P375,3,49155,42
I00272,O02038,P327,2,27647,50
I00273,O06085,P495,3,1398,30
I00274,O06838,P469,5,34364,14
I00275,O04236,P341,2,20918,38
I00276,O00499,P289,1,640,21
I00277,O09013,P058,1,46145,47
I00278,O03061,P474,3,40045,37
I00279,O08351,P047,3,16365,21
I00280,O08716,P241,2,9022,7
I00281,O09992,P463,3,42564,1
I00282,O05866,P341,4,9685,2
I00283,O03872,P401,5,18056,1
I00284,O01693,P066,1,19252,49
I00285,O07531,P038,2,30571,29
I00286,O09643,P287,1,11025,17
I00287,O07722,P324,3,23675,14
I00288,O05350,P051,3,21393,4
I00289,O05902,P188,5,43783,31
I00290,O03424,P018,4,26384,16
I00291,O06191,P166,3,38565,48
I00292,O00943,P452,5,24749,37
I00293,O04451,P480,4,7031,40
I00294,O08708,P041,1,23739,32
I00295,O07186,P266,5,8513,42
I00296,O04516,P276,2,33120,38
I00297,O05710,P409,1,10752,14
I00298,O07786,P121,1,46973,9
I00299,O00337,P085,2,2253,10
I00300,O00649,P469,2,30762,43
I00301,O07746,P431,3,40085,26
I00302,O09550,P415,3,14351,7
I00303,O06685,P006,1,31522,38
I00304,O07752,P334,4,9998,7
I00305,O09328,P157,2,11768,46
I00306,O07097,P182,4,1446,20
I00307,O04560,P382,5,18420,24
I00308,O01797,P473,2,1601,34
I00309,O04621,P368,4,15507,45
I00310,O08192,P477,4,32047,1
I00311,O05879,P082,2,34983,22
I00312,O02390,P468,5,34730,42
I00313,O01583,P498,2,37109,8
I00314,O05484,P470,3,6466,41
I00315,O02963,P158,4,12269,5
I00316,O02451,P098,2,12290,41
I00317,O07609,P100,5,39995,6
I00318,O03824,P124,1,4015,44
I00319,O05141,P028,3,35494,30
I00320,O02687,P327,5,37275,25
I00321,O05767,P414,2,17018,26
I00322,O01255,P225,3,3767,10
I00323,O00332,P254,5,9205,11
I00324,O07348,P428,3,10364,8
I00325,O08864,P481,2,39816,39
I00326,O00879,P382,5,9932,8
I00327,O02753,P278,1,38102,6
I00328,O04825,P103,3,3601,4
I00329,O00316,P480,5,35790,13
I00330,O07806,P365,2,11895,28
I00331,O06668,P205,1,15653,5
I00332,O08954,P004,5,3301,39
I00333,O04459,P097,3,1059,4
I00334,O08837,P459,2,10583,47
I00335,O02739,P379,1,33464,36
I00336,O00214,P460,5,933,4
I00337,O06910,P427,1,39146,18
I00338,O03412,P044,3,9364,43
I00339,O05549,P227,4,47777,46
I00340,O09193,P431,3,8458,17
I00341,O02944,P276,3,12315,3
I00342,O08033,P463,2,17061,10
I00343,O04833,P410,5,16824,20
I00344,O01043,P175,4,40342,34
I00345,O01741,P109,4,43976,23
I00346,O05524,P403,4,21267,45
I00347,O03389,P313,3,49673,11
I00348,O09366,P434,1,16390,44
I00349,O04326,P032,1,15601,21
I00350,O06195,P201,1,16622,41
I00351,O07883,P401,2,34853,41
I00352,O09274,P221,2,15224,30
I00353,O01653,P271,3,5917,5
I00354,O03652,P188,4,3488,23
I00355,O00372,P171,3,4998,18
I00356,O01988,P184,3,31810,4
I00357,O07175,P049,1,13121,48
I00358,O09152,P038,2,35235,5
I00359,O05739,P488,4,29162,13
I00360,O07955,P301,2,40492,43
I00361,O08419,P071,1,16475,9
I00362,O09174,P123,1,41407,11
I00363,O04463,P129,3,5993,18
I00364,O06457,P456,3,3802,33
I00365,O00783,P128,2,3673,32
I00366,O04271,P422,1,45877,3
I00367,O07287,P282,4,41488,21
I00368,O01524,P107,5,26473,34
I00369,O07164,P263,3,7703,39
I00370,O04026,P106,2,36981,28
I00371,O04189,P123,5,45452,17
I00372,O07422,P119,2,24591,18
I00373,O00223,P488,4,45889,40
I00374,O02625,P193,1,31138,8
I00375,O06352,P200,5,664,24
I00376,O05764,P069,1,42883,44
I00377,O01036,P143,4,34795,36
I00378,O02030,P092,2,4504,32
I00379,O04920,P442,3,31269,40
I00380,O00341,P474,2,44901,28
I00381,O05440,P121,5,9014,21
I00382,O06031,P148,5,17251,45
I00383,O05789,P128,2,39570,11
I00384,O04714,P303,1,45201,8
I00385,O05559,P098,1,45327,49
I00386,O05344,P285,1,9132,9
I00387,O05357,P468,2,38063,6
I00388,O01960,P390,3,11769,7
I00389,O07301,P296,1,48303,35
I00390,O04790,P419,2,5943,25
I00391,O06797,P376,2,16002,47
I00392,O04971,P046,3,22996,38
I00393,O04317,P498,4,46803,9
I00394,O00911,P242,4,13973,42
I00395,O07775,P156,5,15426,14
I00396,O09886,P174,1,20118,46
I00397,O04031,P469,4,703,23
I00398,O05645,P292,5,29261,7
I00399,O00065,P149,3,4490,31
I00400,O02358,P148,2,47396,48
I00401,O09317,P053,3,28659,25
I00402,O06334,P114,2,32201,9
I00403,O05822,P307,3,13928,4
I00404,O09408,P284,4,8947,44
I00405,O04138,P377,2,19843,27
I00406,O06771,P212,3,37487,34
I00407,O05267,P217,5,43968,31
I00408,O07522,P310,1,34544,17
I00409,O06713,P202,4,30763,5
I00410,O09477,P375,5,20275,22
I00411,O06978,P087,1,25651,0
I00412,O02933,P480,3,35249,0
I00413,O07986,P230,3,31081,23
I00414,O02771,P326,3,15309,47
I00415,O03142,P187,5,17541,30
I00416,O06832,P073,2,23056,42
I00417,O08960,P214,4,5159,12
I00418,O00052,P152,4,17466,24
I00419,O07481,P429,1,4416,38
I00420,O04910,P280,4,33726,47
I00421,O01138,P454,1,18450,33
I00422,O02431,P485,3,49668,39
I00423,O04442,P389,1,15932,21
I00424,O01918,P385,1,17098,4
I00425,O07129,P269,3,39308,41
I00426,O07990,P408,4,1838,47
I00427,O05988,P318,4,22649,22
I00428,O06656,P411,5,6099,35
I00429,O01251,P289,4,18377,49
I00430,O08498,P352,5,28082,34
I00431,O07721,P418,2,1299,50
I00432,O09245,P387,4,27133,21
I00433,O07574,P242,4,15354,26
I00434,O02177,P409,4,43105,50
I00435,O02848,P358,4,38318,36
I00436,O01047,P086,4,39685,25
I00437,O03973,P179,5,44612,48
I00438,O09438,P009,5,44162,43
I00439,O08171,P487,1,46021,18
I00440,O01319,P299,5,45460,45
I00441,O06690,P331,5,28606,42
I00442,O06535,P148,4,5418,43
I00443,O01027,P116,4,36304,43
I00444,O02017,P242,2,38329,42
I00445,O01841,P311,3,47217,41
I00446,O04351,P190,1,46870,43
I00447,O06971,P386,3,22619,22
I00448,O08832,P210,5,45929,22
I00449,O09794,P261,3,13424,8
I00450,O00938,P420,2,701,39
I00451,O04371,P461,2,43758,4
I00452,O06879,P085,4,1727,12
I00453,O03392,P441,4,24877,38
I00454,O00238,P334,5,48285,6
I00455,O05471,P133,5,36230,13
I00456,O04515,P311,4,10841,34
I00457,O01970,P309,4,29491,24
I00458,O06617,P195,4,29078,4
I00459,O03173,P084,1,5634,41
I00460,O08125,P140,5,33926,17
I00461,O03191,P214,2,20819,45
I00462,O02147,P143,2,1560,9
I00463,O01619,P059,1,24779,0
I00464,O07617,P221,5,25788,22
I00465,O06997,P020,1,44941,47
I00466,O09163,P318,4,20009,27
I00467,O08116,P434,5,6142,23
I00468,O04324,P109,3,27056,3
I00469,O05837,P208,1,13797,8
I00470,O08766,P198,4,32595,15
I00471,O09071,P497,4,45381,16
I00472,O06762,P327,1,5750,33
I00473,O01277,P117,5,23612,19
I00474,O06388,P069,1,38837,4
I00475,O02932,P269,3,6669,32
I00476,O02218,P045,1,12080,14
I00477,O08885,P204,1,14590,3
I00478,O00864,P179,1,42238,17
I00479,O07394,P283,1,15627,27
I00480,O07387,P449,2,45452,6
I00481,O02333,P093,4,7809,41
I00482,O06284,P335,3,31898,46
I00483,O03626,P468,3,28305,40
I00484,O03314,P314,4,40630,27
I00485,O03381,P490,2,32715,4
I00486,O09989,P435,3,10098,11
I00487,O04790,P157,1,23732,17
I00488,O02600,P358,5,8089,43
I00489,O07100,P111,5,7174,49
I00490,O08548,P174,5,25764,19
I00491,O09541,P016,5,26533,27
I00492,O05467,P369,2,24984,17
I00493,O06333,P348,1,36083,12
I00494,O01090,P106,2,1187,13
I00495,O03639,P177,2,33160,12
I00496,O09119,P075,4,18239,20
I00497,O09460,P162,3,47622,13
I00498,O09883,P165,5,16239,28
I00499,O07673,P027,2,28809,27
I00500,O06803,P331,2,4686,49
I00501,O03231,P374,3,11844,4
I00502,O07136,P293,2,26079,4
I00503,O03895,P348,5,11980,47
I00504,O07705,P490,3,19726,6
I00505,O02901,P232,4,18736,42
I00506,O02466,P447,3,47790,26
I00507,O03715,P195,1,46415,42
I00508,O04732,P118,4,35765,17
I00509,O08046,P169,3,32128,1
I00510,O02164,P195,4,4491,29
I00511,O02919,P350,2,4482,42
I00512,O03584,P291,2,46691,21
I00513,O04273,P204,4,12260,17
I00514,O00411,P470,3,27377,25
I00515,O07053,P475,1,45160,5
I00516,O05919,P179,4,38651,37
I00517,O07084,P145,2,8948,6
I00518,O04593,P374,5,13962,26
I00519,O01712,P237,2,31321,46
I00520,O04308,P113,1,32048,0
I00521,O00686,P438,2,33486,23
I00522,O06083,P250,5,6543,3
I00523,O04120,P423,3,26254,26
I00524,O07068,P473,4,23507,4
I00525,O06263,P450,2,33719,33
I00526,O06634,P006,1,448,20
I00527,O05802,P203,5,9004,27
I00528,O05435,P114,2,17109,33
I00529,O06605,P150,4,36730,6
I00530,O02852,P308,5,37927,26
I00531,O07616,P136,2,27490,22
I00532,O06174,P107,5,19037,49
I00533,O00828,P316,3,27014,44
I00534,O07265,P204,4,4356,10
I00535,O06397,P200,2,13949,30
I00536,O00603,P327,2,20687,12
I00537,O08872,P267,4,43950,37
I00538,O05162,P229,3,45985,40
I00539,O00678,P375,4,16496,26
I00540,O00066,P270,2,18621,5
I00541,O03267,P088,2,6437,6
I00542,O07547,P214,2,2718,9
I00543,O06966,P088,1,41772,33
I00544,O03329,P397,5,39143,47
I00545,O08453,P051,4,2984,23
I00546,O02170,P148,3,31115,43
I00547,O07986,P180,3,19448,21
I00548,O02191,P034,4,16811,5
I00549,O04390,P212,1,33411,46
I00550,O00782,P226,1,38508,50
I00551,O04280,P070,2,27482,20
I00552,O01421,P283,2,29637,41
I00553,O02346,P159,4,48650,21
I00554,O07710,P084,4,20296,39
I00555,O05015,P240,1,42109,32
I00556,O08951,P386,2,3928,20
I00557,O01655,P290,1,41309,48
I00558,O06263,P041,2,21654,24
I00559,O03813,P070,5,21543,43
I00560,O07255,P260,4,25239,16
I00561,O03366,P442,2,33250,49
I00562,O09483,P478,2,15120,50
I00563,O04749,P246,5,44500,33
I00564,O00445,P103,3,5768,24
I00565,O05920,P410,3,23565,30
I00566,O04731,P421,3,26067,44
I00567,O01997,P155,3,2572,34
I00568,O09242,P184,2,41332,18
I00569,O02171,P441,1,11884,30
I00570,O09830,P144,2,4422,14
I00571,O08666,P319,3,883,23
I00572,O03695,P010,4,15476,44
I00573,O01440,P483,4,2157,29
I00574,O09887,P292,4,42513,19
I00575,O09980,P364,4,21188,43
I00576,O06991,P395,3,1061,4
I00577,O08957,P088,5,27517,12
I00578,O02552,P171,4,21817,19
I00579,O06979,P024,5,11419,21
I00580,O06461,P226,5,6907,30
I00581,O08302,P205,4,40063,1
I00582,O08495,P158,1,11154,27
I00583,O04122,P074,3,33488,7
I00584,O02132,P306,4,46534,20
I00585,O07545,P088,3,11940,41
I00586,O00163,P366,4,17093,20
I00587,O09109,P071,4,14328,32
I00588,O02337,P464,2,645,37
I00589,O07820,P451,5,2393,6
I00590,O02788,P055,2,5025,11
I00591,O08988,P379,1,48255,38
I00592,O05891,P248,4,10642,31
I00593,O08796,P188,3,2877,50
I00594,O05640,P422,3,39225,7
I00595,O06526,P416,2,31789,19
I00596,O01171,P122,2,2280,13
I00597,O09686,P439,5,37795,24
I00598,O08023,P181,2,6388,31
I00599,O01478,P496,2,28014,2
I00600,O09975,P163,3,45898,43
I00601,O04838,P086,5,5574,13
I00602,O08367,P186,2,17924,30
I00603,O07575,P473,2,28948,2
I00604,O00005,P151,1,44584,3
I00605,O00573,P212,5,9456,2
I00606,O09751,P226,2,4272,29
I00607,O09530,P249,5,15296,29
I00608,O05248,P467,2,41403,16
I00609,O02233,P194,3,39857,43
I00610,O09327,P361,1,10988,31
I00611,O06409,P286,2,46056,29
I00612,O03269,P236,3,28034,43
I00613,O00731,P395,5,11540,13
I00614,O08379,P430,4,32085,20
I00615,O07171,P471,5,5180,50
I00616,O08305,P154,4,23244,6
I00617,O08984,P007,4,37316,22
I00618,O03548,P430,1,7348,40
I00619,O01572,P495,1,13359,10
I00620,O05777,P497,5,16530,39
I00621,O02912,P483,3,729,23
I00622,O03472,P411,2,23626,12
I00623,O03392,P119,4,20647,15
I00624,O04336,P065,4,47189,24
I00625,O05107,P354,4,14888,35
I00626,O04940,P141,2,42081,3
I00627,O02812,P464,2,16483,46
I00628,O06787,P339,3,21352,5
I00629,O01228,P364,5,35573,41
I00630,O02585,P412,2,1238,4
I00631,O06205,P190,4,31474,18
I00632,O04976,P188,1,29349,40
I00633,O08109,P443,5,23877,22
I00634,O07481,P203,4,46302,10
I00635,O02016,P477,1,6422,40
I00636,O03357,P474,1,41199,32
I00637,O04214,P153,2,20805,11
I00638,O08437,P048,4,38745,34
I00639,O00327,P083,1,35160,43
I00640,O01699,P260,3,34553,45
I00641,O04756,P190,3,2457,19
I00642,O02649,P481,4,5229,4
I00643,O03869,P395,5,35211,22
I00644,O05935,P476,5,42196,38
I00645,O01687,P003,1,33507,28
I00646,O08170,P282,1,36423,44
I00647,O08638,P409,1,15298,9
I00648,O06522,P167,2,9452,2
I00649,O02353,P310,3,34571,11
I00650,O00855,P499,3,3611,42
I00651,O07179,P317,2,40969,14
I00652,O04503,P436,5,31286,36
I00653,O09282,P370,1,48030,28
I00654,O08475,P466,4,19583,17
I00655,O00588,P365,1,7138,34
I00656,O00620,P331,3,22365,11
I00657,O01369,P206,3,15481,2
I00658,O06706,P285,4,7595,22
I00659,O00667,P378,3,30302,9
I00660,O02054,P472,1,34335,0
I00661,O01476,P088,1,25395,33
I00662,O04516,P146,1,32758,12
I00663,O03955,P293,5,17576,15
I00664,O06223,P210,2,43229,50
I00665,O09710,P427,5,1341,35
I00666,O01559,P121,2,17554,19
I00667,O05685,P231,5,21684,18
I00668,O04173,P190,5,46318,29
I00669,O06095,P323,4,27600,49
I00670,O08085,P098,5,49684,33
I00671,O06757,P388,1,39123,41
I00672,O04434,P386,3,36229,5
I00673,O06140,P191,3,17621,50
I00674,O02080,P017,5,47889,45
I00675,O08473,P497,1,39909,46
I00676,O08269,P326,3,33598,23
I00677,O04260,P451,5,34086,41
I00678,O00505,P461,5,18428,33
I00679,O08987,P189,1,14015,7
I00680,O05652,P248,3,9386,18
I00681,O07667,P430,4,48420,21
I00682,O04579,P305,1,31776,26
I00683,O04053,P326,1,6993,2
I00684,O01657,P118,5,22132,32
I00685,O09185,P034,2,22229,48
I00686,O06105,P001,4,13068,37
I00687,O01157,P180,3,28927,10
I00688,O09018,P261,4,18709,49
I00689,O04714,P286,4,39091,50
I00690,O00120,P442,1,5100,39
I00691,O04472,P140,1,12307,40
I00692,O07738,P317,2,46738,6
I00693,O06861,P055,2,46749,28
I00694,O07913,P154,4,19653,4
I00695,O02726,P123,3,31999,31
I00696,O00509,P233,1,28744,42
I00697,O00922,P461,1,12042,42
I00698,O07324,P187,4,19506,23
I00699,O08908,P208,2,8528,26
I00700,O02937,P024,4,16037,17
I00701,O04125,P076,5,5432,39
I00702,O02527,P401,4,21114,20
I00703,O00725,P067,3,25455,9
I00704,O09351,P298,3,42608,23
I00705,O00686,P237,4,46253,47
I00706,O04536,P340,5,13017,26
I00707,O04898,P381,2,30816,11
I00708,O00201,P266,3,26064,2
I00709,O05159,P214,4,11335,32
I00710,O02601,P259,3,5919,3
I00711,O02581,P407,2,794,50
I00712,O04051,P294,1,16384,15
I00713,O07051,P333,2,36596,26
I00714,O04558,P033,5,18516,25
I00715,O02588,P465,1,22178,45
I00716,O03755,P042,5,42746,24
I00717,O05352,P113,4,14760,17
I00718,O06800,P489,2,26035,46
I00719,O06618,P330,4,49154,19
I00720,O05316,P316,1,30201,29
I00721,O04099,P366,3,4487,28
I00722,O08041,P011,1,20513,31
I00723,O09410,P310,4,25870,42
I00724,O04800,P171,2,17973,0
I00725,O07891,P181,4,4973,15
I00726,O00252,P291,3,21106,38
I00727,O03069,P115,3,47788,15
I00728,O01773,P101,4,34218,29
I00729,O04189,P030,4,9977,15
I00730,O00441,P355,5,24226,21
I00731,O09227,P356,1,9752,28
I00732,O08239,P248,1,26934,34
I00733,O05889,P183,3,7603,20
I00734,O04438,P074,4,47681,12
I00735,O05536,P338,3,47263,35
I00736,O05349,P432,5,26777,49
I00737,O02153,P328,4,2515,10
I00738,O09548,P388,1,3642,38
I00739,O05458,P229,2,44514,50
I00740,O09564,P396,4,954,22
I00741,O04185,P244,5,32556,26
I00742,O07201,P148,5,45878,5
I00743,O04690,P489,2,3171,31
I00744,O07078,P500,4,48786,13
I00745,O01847,P461,1,47535,33
I00746,O08194,P471,1,25038,15
I00747,O01535,P195,2,39868,16
I00748,O02780,P465,5,35403,23
I00749,O05481,P334,5,5954,19
I00750,O02977,P227,5,24487,19
I00751,O03923,P150,3,11760,18
I00752,O03452,P015,2,10683,42
I00753,O07017,P174,2,11725,38
I00754,O02923,P276,2,23403,13
I00755,O07401,P067,1,12781,34
I00756,O06742,P370,3,33681,30
I00757,O02206,P290,1,3840,1
I00758,O07387,P343,1,9022,6
I00759,O02500,P255,5,30872,24
I00760,O03109,P060,1,11016,17
I00761,O00411,P204,4,44671,3
I00762,O03907,P237,5,2269,42
I00763,O08367,P255,3,4941,15
I00764,O08588,P480,5,27097,32
I00765,O04444,P275,5,23214,13
I00766,O08705,P424,5,40028,34
I00767,O05350,P329,3,3371,29
I00768,O00049,P278,2,5816,46
I00769,O08119,P186,1,17684,22
I00770,O08724,P167,1,40566,26
I00771,O05988,P007,1,10427,9
I00772,O01577,P048,5,20019,17
I00773,O03397,P318,2,48550,36
I00774,O04149,P475,3,9302,17
I00775,O05208,P104,2,11455,45
