order_id,customer_id,order_date,status,region_code
O00073,C946,2026-05-09 13:46:23,SHIPPED,North
O00074,C749,2025-10-12 21:05:35,SHIPPED,North
O00075,C777,2024-11-12 09:35:42,SHIPPED,West
O00076,C987,2026-06-04 08:28:14,DELIVERED,East
O00077,C254,2025-07-24 00:12:28,CANCELLED,North
O00078,C603,2025-08-03 08:47:38,SHIPPED,West
O00079,Unknown,2025-07-03 16:25:03,PLACED,East
O00080,C310,2026-07-05 17:37:28,PLACED,West
O00081,C529,2026-05-25 09:14:47,PLACED,East
O00082,C824,2026-01-18 12:48:39,RETURNED,North
O00083,C897,2025-12-31 20:37:49,RETURNED,East
O00084,C681,2025-11-06 19:20:33,RETURNED,East
O00085,C600,2025-01-24 21:46:19,RETURNED,North
O00086,C128,2026-02-21 00:03:40,CANCELLED,North
O00087,C894,2026-01-07 07:39:05,CANCELLED,North
O00088,C468,2024-10-07 06:36:09,DELIVERED,North
O00089,C111,2025-01-03 22:11:36,RETURNED,West
O00090,C847,2024-09-30 05:58:02,CANCELLED,East
O00091,C166,2025-05-12 18:42:56,PLACED,East
O00092,C118,2025-08-27 20:50:31,CANCELLED,East
O00093,C682,2026-07-05 12:38:08,DELIVERED,West
O00094,C681,2025-06-26 11:52:38,PLACED,South
O00095,C263,2025-08-20 09:15:28,PLACED,East
O00096,C023,2025-11-05 11:10:55,CANCELLED,West
O00097,C073,2025-10-13 17:54:39,DELIVERED,West
O00098,C284,2024-09-29 11:31:27,PLACED,West
O00099,C373,2026-05-13 16:15:45,DELIVERED,South
O00100,C064,2025-07-16 19:51:24,PLACED,East
O00101,C391,2026-07-03 21:08:38,PLACED,North
O00102,C532,2024-07-09 10:21:45,SHIPPED,North
O00103,C470,2025-04-19 21:03:02,RETURNED,North
O00104,C048,2025-12-19 07:09:58,RETURNED,South
O00105,C927,2026-02-06 10:44:15,SHIPPED,South
O00106,C080,2024-11-10 22:27:43,DELIVERED,West
O00107,C692,2025-07-06 19:07:03,DELIVERED,East
O00108,C880,2026-07-08 10:18:58,PLACED,South
O00109,C079,2026-06-02 22:00:34,SHIPPED,North
O00110,C939,2025-09-23 00:32:25,RETURNED,South
O00111,C501,2026-06-29 00:28:31,SHIPPED,East
O00112,C337,2026-06-30 01:02:07,CANCELLED,East
O00113,C186,2025-01-31 20:57:35,PLACED,North
O00114,C461,2026-03-10 01:59:53,PLACED,North
O00115,C833,2025-03-12 22:44:26,PLACED,West
O00116,C430,2025-03-06 07:17:12,PLACED,West
O00117,C764,2024-10-28 06:17:06,CANCELLED,North
O00118,C793,2025-12-11 08:03:43,PLACED,East
O00119,Unknown,2025-09-30 07:35:54,SHIPPED,North
O00120,C089,2025-04-09 02:26:20,DELIVERED,West
O00121,C423,2025-11-05 23:58:36,DELIVERED,West
O00122,C985,2025-08-17 09:04:01,SHIPPED,South
O00123,C906,2026-02-26 10:38:24,SHIPPED,North
O00124,C507,2025-10-18 01:03:04,SHIPPED,East
O00125,C964,2025-01-07 14:38:22,PLACED,South
O00126,C970,2025-11-16 15:36:36,PLACED,West
O00127,C032,2025-07-28 22:24:52,CANCELLED,West
O00128,Unknown,2026-07-02 12:32:04,DELIVERED,West
O00129,C185,2025-03-15 21:11:41,DELIVERED,South
O00130,C962,2024-09-26 09:46:53,DELIVERED,West
O00131,C555,2026-04-05 10:56:24,RETURNED,East
O00132,C362,2025-10-08 01:10:45,DELIVERED,South
O00133,Unknown,2025-10-05 15:34:55,SHIPPED,West
O00134,Unknown,2025-03-06 15:39:55,DELIVERED,North
O00135,C006,2026-01-15 16:40:21,PLACED,West
O00136,C175,2025-07-31 12:33:06,CANCELLED,East
O00137,C893,2025-08-28 10:44:05,RETURNED,West
O00138,C058,2024-10-10 09:19:17,SHIPPED,West
O00139,C041,2025-09-26 17:27:30,SHIPPED,West
O00140,C336,2026-03-21 02:06:01,PLACED,South
O00141,C548,2024-08-20 15:57:14,CANCELLED,South
O00142,C445,2026-02-15 07:33:11,CANCELLED,East
O00143,Unknown,2024-08-24 05:56:00,SHIPPED,South
O00144,C777,2024-08-14 01:06:50,CANCELLED,West
O00145,C174,2025-04-29 08:54:33,CANCELLED,South
O00146,C705,2025-01-17 04:21:18,RETURNED,North
O00147,C422,2025-02-11 16:08:02,CANCELLED,West
O00148,C037,2024-11-22 11:45:27,DELIVERED,South
O00149,C089,2026-01-11 07:47:05,CANCELLED,South
O00150,C837,2024-11-16 14:04:50,SHIPPED,North
O00151,C396,2025-08-14 02:57:46,DELIVERED,North
O00152,C747,2025-11-17 05:58:32,DELIVERED,South
O00153,C168,2025-06-05 15:31:44,DELIVERED,West
O00154,C252,2025-06-19 17:31:10,SHIPPED,West
O00155,C728,2026-03-16 13:19:04,PLACED,South
O00156,C413,2026-05-12 14:44:50,PLACED,East
O00157,C383,2025-10-27 20:03:20,DELIVERED,North
O00158,C955,2025-12-13 21:23:46,SHIPPED,North
O00159,C378,2025-06-18 21:41:35,CANCELLED,West
O00160,C567,2025-03-25 07:55:36,RETURNED,South
O00161,C859,2025-08-20 23:57:08,SHIPPED,West
O00162,C454,2026-05-14 02:02:01,DELIVERED,West
O00163,C452,2024-09-04 04:47:40,CANCELLED,North
O00164,C966,2025-01-29 21:08:38,PLACED,South
O00165,C407,2025-05-21 20:01:53,PLACED,East
O00166,C938,2026-01-26 09:22:45,SHIPPED,South
O00167,C952,2025-04-12 12:35:15,DELIVERED,West
O00168,C559,2025-05-17 14:10:14,SHIPPED,North
O00169,C760,2025-05-08 22:19:39,CANCELLED,West
O00170,C907,2026-05-22 15:08:42,CANCELLED,West
O00171,C142,2025-02-22 01:34:27,PLACED,South
O00172,C300,2025-05-13 11:04:34,CANCELLED,East
O00173,C265,2026-03-06 01:25:43,PLACED,West
O00174,C247,2024-10-30 16:11:50,DELIVERED,North
O00175,Unknown,2025-08-01 12:53:30,PLACED,West
O00176,C855,2026-01-11 00:09:41,RETURNED,East
O00177,C923,2025-06-17 11:09:17,SHIPPED,South
O00178,C840,2025-04-24 22:12:46,RETURNED,North
O00179,C540,2026-04-24 20:31:01,PLACED,North
O00180,C814,2026-03-11 10:38:10,RETURNED,North
O00181,C923,2025-08-09 21:03:03,RETURNED,West
O00182,C221,2024-10-14 19:18:55,SHIPPED,East
O00183,C393,2024-09-24 15:36:29,RETURNED,North
O00184,C318,2025-11-25 18:48:28,PLACED,South
O00185,C598,2026-04-28 20:10:41,RETURNED,East
O00186,C967,2024-12-27 22:27:11,SHIPPED,South
O00187,C963,2025-09-07 08:11:56,DELIVERED,West
O00188,C670,2024-09-20 04:52:12,DELIVERED,West
O00189,C753,2025-12-01 20:36:06,RETURNED,North
O00190,C189,2025-11-20 21:20:02,PLACED,East
O00191,C689,2026-01-26 00:21:54,RETURNED,East
O00192,C681,2025-12-11 14:07:27,DELIVERED,East
O00193,C040,2024-08-29 00:40:37,SHIPPED,West
O00194,C576,2024-09-28 07:31:21,RETURNED,West
O00195,C955,2025-04-03 21:31:21,SHIPPED,East
O00196,C608,2025-07-09 10:23:36,CANCELLED,East
O00197,C940,2025-12-04 16:32:06,DELIVERED,South
O00198,C158,2026-03-08 20:53:51,SHIPPED,West
O00199,Unknown,2025-03-12 05:57:50,CANCELLED,East
O00200,C200,2025-05-02 15:38:12,SHIPPED,North
O00201,C117,2024-09-25 16:30:59,PLACED,South
O00202,C448,2025-05-24 07:55:46,PLACED,North
O00203,C585,2024-08-06 05:42:20,DELIVERED,West
O00204,C420,2025-05-11 23:04:23,DELIVERED,South
O00205,C236,2025-10-22 18:02:22,SHIPPED,South
O00206,C125,2025-02-02 21:49:00,DELIVERED,East
O00207,C399,2026-03-14 02:41:54,RETURNED,South
O00208,C375,2025-12-19 09:36:47,CANCELLED,East
O00209,C850,2024-11-22 03:16:09,DELIVERED,West
O00210,C591,2024-08-23 09:38:24,PLACED,West
O00211,C020,2025-06-20 07:03:46,CANCELLED,South
O00212,C935,2026-01-17 14:03:02,DELIVERED,North
O00213,C591,2025-01-27 09:55:42,CANCELLED,South
O00214,C130,2024-11-14 14:25:32,DELIVERED,East
O00215,C722,2025-03-22 05:54:30,SHIPPED,South
O00216,C625,2025-11-27 04:28:25,PLACED,East
O00217,C979,2026-03-05 02:38:26,CANCELLED,East
O00218,C531,2025-03-22 10:17:39,CANCELLED,South
O00219,C347,2026-02-08 05:24:35,RETURNED,West
O00220,C320,2026-01-15 01:51:09,PLACED,West
O00221,C665,2024-10-12 02:31:54,SHIPPED,West
O00222,C251,2026-02-21 19:26:12,DELIVERED,West
O00223,C370,2024-07-17 04:48:41,DELIVERED,South
O00224,C072,2025-09-05 10:14:56,DELIVERED,West
O00225,C196,2025-11-20 21:58:20,PLACED,West
O00226,C995,2026-06-27 09:04:16,SHIPPED,West
O00227,C190,2024-08-15 14:51:12,SHIPPED,East
O00228,C049,2024-10-25 01:03:59,PLACED,East
O00229,C252,2025-03-16 04:23:56,PLACED,East
O00230,C283,2024-07-23 16:41:17,CANCELLED,South
O00231,C534,2026-05-13 18:13:01,PLACED,North
O00232,C150,2025-09-14 16:48:03,CANCELLED,South
O00233,C425,2024-07-08 16:58:44,PLACED,West
O00234,C235,2024-10-22 08:49:30,RETURNED,South
O00235,C945,2026-05-08 08:16:01,SHIPPED,South
O00236,C829,2025-09-15 07:10:35,SHIPPED,West
O00237,C630,2026-06-10 01:24:40,SHIPPED,West
O00238,C480,2025-04-24 10:35:36,RETURNED,East
O00239,C952,2026-05-26 21:57:23,PLACED,West
O00240,C423,2025-07-01 14:20:59,RETURNED,North
O00241,C545,2025-04-10 21:51:41,PLACED,North
O00242,C033,2025-11-18 08:09:33,PLACED,South
O00243,C943,2024-09-21 19:40:01,SHIPPED,North
O00244,C228,2025-10-25 20:11:37,CANCELLED,North
O00245,C993,2025-10-15 00:00:09,SHIPPED,South
O00246,C896,2025-03-16 15:17:35,RETURNED,North
O00247,C327,2026-03-15 17:55:41,DELIVERED,South
O00248,C821,2024-08-18 08:20:23,PLACED,East
O00249,C797,2026-04-28 14:00:57,CANCELLED,North
O00250,Unknown,2024-12-26 10:29:25,RETURNED,North
O00251,C448,2024-11-11 23:43:35,PLACED,West
O00252,C289,2025-11-20 23:37:35,CANCELLED,East
O00253,C201,2026-04-28 02:40:54,RETURNED,North
O00254,C875,2025-12-19 09:28:57,CANCELLED,South
O00255,C542,2024-09-21 17:00:46,CANCELLED,South
O00256,C966,2024-12-25 21:01:21,PLACED,South
O00257,C675,2025-03-10 11:17:15,DELIVERED,West
O00258,C385,2025-09-17 09:11:21,RETURNED,South
O00259,C827,2025-01-12 15:28:46,PLACED,West
O00260,C781,2025-03-08 13:31:46,DELIVERED,East
O00261,C692,2025-05-31 00:56:00,DELIVERED,North
O00262,C313,2024-09-15 18:00:18,CANCELLED,South
O00263,C206,2024-08-25 16:34:14,CANCELLED,East
O00264,C490,2026-06-17 20:57:07,RETURNED,South
O00265,C728,2025-09-05 12:18:23,PLACED,West
O00266,C374,2026-05-15 04:29:05,SHIPPED,North
O00267,C524,2024-12-19 13:17:59,SHIPPED,West
O00268,C382,2025-03-28 10:35:00,SHIPPED,North
O00269,C801,2026-04-23 03:55:11,RETURNED,South
O00270,C069,2024-11-04 11:46:01,SHIPPED,West
O00271,C980,2026-04-17 01:34:56,DELIVERED,West
O00272,C654,2026-05-30 19:14:11,DELIVERED,South
O00273,C662,2026-06-08 03:41:52,DELIVERED,West
O00274,C188,2025-04-22 17:38:43,DELIVERED,East
O00275,C351,2024-12-12 02:34:49,SHIPPED,North
O00276,C042,2024-12-16 09:37:54,CANCELLED,West
O00277,C299,2026-06-07 17:46:41,DELIVERED,South
O00278,C720,2024-12-16 11:10:21,DELIVERED,North
O00279,C861,2024-11-11 06:28:01,CANCELLED,North
O00280,C701,2024-08-30 12:09:26,SHIPPED,West
O00281,C575,2026-03-10 02:52:21,CANCELLED,West
O00282,C1000,2024-09-09 05:06:24,CANCELLED,West
O00283,C589,2026-03-16 00:45:42,RETURNED,West
O00284,C268,2025-04-17 02:09:18,CANCELLED,West
O00285,C273,2025-03-26 05:23:29,RETURNED,East
O00286,C250,2026-02-25 12:25:09,PLACED,East
O00287,C065,2025-10-29 02:56:19,RETURNED,South
O00288,C683,2026-03-05 14:46:00,DELIVERED,East
O00289,C138,2024-07-19 00:21:03,SHIPPED,East
O00290,C824,2024-11-08 22:47:59,CANCELLED,East
O00291,C748,2025-06-26 07:10:06,RETURNED,South
O00292,C672,2026-01-31 22:34:54,PLACED,West
O00293,Unknown,2025-05-28 22:00:28,SHIPPED,North
O00294,C423,2025-11-20 20:12:50,PLACED,South
O00295,C287,2025-02-02 11:28:49,DELIVERED,South
O00296,C576,2025-10-11 14:18:19,DELIVERED,North
O00297,C152,2025-04-27 20:31:42,DELIVERED,East
O00298,Unknown,2025-03-08 21:29:20,RETURNED,East
O00299,C389,2024-08-07 09:33:57,CANCELLED,South
O00300,C791,2024-12-26 15:38:48,DELIVERED,West
O00301,C817,2025-02-24 05:02:46,RETURNED,West
O00302,C786,2026-04-29 11:52:57,DELIVERED,East
O00303,C849,2025-11-18 04:03:16,PLACED,North
O00304,Unknown,2026-02-28 05:11:26,PLACED,North
O00305,C584,2026-05-19 06:05:34,SHIPPED,East
O00306,C586,2024-11-17 16:14:03,CANCELLED,West
O00307,C562,2025-12-23 10:47:50,DELIVERED,South
O00308,C638,2025-05-12 16:45:15,CANCELLED,South
O00309,C964,2025-11-17 05:16:19,RETURNED,East
O00310,C564,2025-10-24 02:32:52,SHIPPED,East
O00311,C200,2025-01-17 06:47:22,DELIVERED,West
O00312,C342,2024-12-20 06:16:46,CANCELLED,North
O00313,C300,2025-10-15 05:10:27,CANCELLED,East
O00314,C376,2025-11-11 12:02:10,SHIPPED,West
O00315,C552,2026-06-06 22:31:04,CANCELLED,West
O00316,C761,2024-07-25 13:28:39,CANCELLED,East
O00317,C876,2024-10-01 04:30:07,RETURNED,West
O00318,Unknown,2025-10-19 05:48:07,RETURNED,West
O00319,C976,2025-04-08 22:43:02,PLACED,East
O00320,C056,2025-10-07 22:13:31,DELIVERED,West
O00321,C233,2026-06-05 03:44:24,PLACED,East
O00322,C689,2025-06-14 06:37:54,RETURNED,West
O00323,C012,2026-06-16 09:34:21,SHIPPED,North
O00324,C604,2025-04-26 20:02:57,DELIVERED,North
O00325,C536,2026-03-27 02:03:08,RETURNED,West
O00326,C832,2024-07-10 02:50:28,CANCELLED,West
O00327,C774,2025-03-14 11:22:04,PLACED,North
O00328,C302,2025-09-02 15:43:47,DELIVERED,South
O00329,C121,2025-01-30 04:30:14,DELIVERED,North
O00330,C600,2025-02-09 13:21:00,RETURNED,West
O00331,C010,2026-04-05 20:02:46,SHIPPED,South
O00332,C738,2026-05-02 11:28:29,CANCELLED,East
O00333,Unknown,2026-05-04 07:18:31,DELIVERED,West
O00334,C508,2025-11-04 12:33:47,PLACED,South
O00335,C828,2026-01-07 02:39:37,RETURNED,South
O00336,C785,2026-01-15 16:53:50,CANCELLED,South
O00337,C381,2025-06-08 15:07:42,CANCELLED,North
O00338,C343,2025-02-01 06:35:27,PLACED,East
O00339,C785,2026-01-10 01:21:17,SHIPPED,South
O00340,C933,2026-04-05 01:10:13,DELIVERED,East
O00341,C716,2024-12-04 03:08:42,CANCELLED,West
O00342,C868,2026-05-27 16:27:08,PLACED,West
O00343,C400,2025-10-12 23:29:53,SHIPPED,North
O00344,Unknown,2024-09-29 01:25:21,CANCELLED,South
O00345,C938,2026-01-29 09:08:10,DELIVERED,South
O00346,C646,2025-11-10 11:37:54,DELIVERED,North
O00347,C189,2026-04-03 23:22:54,CANCELLED,South
O00348,C249,2025-12-27 06:52:35,CANCELLED,North
O00349,C467,2025-11-25 14:39:39,RETURNED,North
O00350,C249,2024-08-29 07:54:59,RETURNED,South
O00351,C737,2025-06-28 11:08:34,PLACED,North
O00352,C500,2025-08-06 01:42:09,DELIVERED,South
O00353,C678,2025-04-09 02:56:57,PLACED,South
O00354,C593,2025-10-16 09:23:44,DELIVERED,East
O00355,C342,2025-11-22 22:22:46,PLACED,South
O00356,C537,2026-06-25 03:20:28,DELIVERED,North
O00357,C458,2026-06-09 22:04:39,RETURNED,South
O00358,C558,2024-12-09 22:15:29,RETURNED,North
O00359,C641,2025-06-09 14:24:51,PLACED,South
O00360,C389,2026-03-05 01:44:39,PLACED,West
O00361,C248,2025-08-12 23:59:45,DELIVERED,North
O00362,C075,2025-08-07 21:41:08,DELIVERED,North
O00363,Unknown,2025-01-07 02:11:29,DELIVERED,South
O00364,C499,2026-04-14 05:00:27,CANCELLED,West
O00365,C728,2026-05-06 16:15:18,CANCELLED,East
O00366,C303,2025-06-16 10:18:28,PLACED,East
O00367,C150,2024-09-16 03:48:05,RETURNED,South
O00368,C289,2024-11-18 22:43:25,RETURNED,East
O00369,C463,2025-12-06 22:03:15,SHIPPED,South
O00370,C917,2026-05-09 17:20:55,CANCELLED,South
O00371,C687,2024-11-14 12:03:06,CANCELLED,North
O00372,C455,2026-02-10 00:14:02,PLACED,West
O00373,C426,2026-03-19 07:46:59,SHIPPED,North
O00374,C989,2026-06-26 16:09:44,CANCELLED,South
O00375,C984,2025-05-21 00:11:55,RETURNED,North
O00376,C321,2025-11-29 23:42:21,DELIVERED,North
O00377,C425,2025-04-07 14:53:11,RETURNED,North
O00378,C027,2025-06-05 17:27:13,DELIVERED,West
O00379,C795,2026-01-22 00:34:51,SHIPPED,North
O00380,C313,2026-05-23 05:51:21,DELIVERED,West
O00381,C415,2026-01-15 01:58:00,RETURNED,South
O00382,C148,2025-12-30 06:28:14,PLACED,East
O00383,C493,2025-12-22 23:29:51,PLACED,West
O00384,C438,2025-08-11 11:57:30,CANCELLED,West
O00385,C092,2026-02-20 16:12:46,SHIPPED,South
O00386,C063,2026-02-08 18:54:04,RETURNED,East
O00387,C774,2025-07-09 15:02:06,DELIVERED,East
O00388,C568,2025-12-30 23:52:38,SHIPPED,North
O00389,C712,2026-05-13 21:19:32,DELIVERED,West
O00390,Unknown,2025-09-27 17:38:04,SHIPPED,East
O00391,C195,2025-06-02 22:52:44,PLACED,North
O00392,C644,2026-02-28 14:23:29,CANCELLED,South
O00393,C388,2024-10-18 10:41:00,CANCELLED,South
O00394,C264,2026-01-12 21:34:00,SHIPPED,North
O00395,C097,2026-06-18 16:34:30,DELIVERED,North
O00396,C001,2025-10-17 12:11:30,CANCELLED,West
O00397,C294,2024-07-25 13:09:40,RETURNED,West
O00398,C455,2024-12-01 20:25:18,RETURNED,South
O00399,C115,2026-07-07 07:19:29,CANCELLED,West
O00400,C846,2024-10-31 19:11:58,SHIPPED,East
O00401,C114,2024-09-30 12:03:08,PLACED,East
O00402,C940,2025-05-16 13:33:29,SHIPPED,South
O00403,C712,2026-06-29 02:29:08,CANCELLED,West
O00404,C256,2026-02-13 06:02:17,DELIVERED,East
O00405,C351,2026-01-12 02:20:14,PLACED,West
O00406,C172,2026-05-17 22:59:51,SHIPPED,East
O00407,C689,2025-08-12 10:12:24,SHIPPED,South
O00408,C781,2026-05-16 00:44:36,DELIVERED,South
O00409,C196,2025-01-04 02:27:06,RETURNED,East
O00410,C241,2025-01-10 07:08:11,CANCELLED,East
O00411,C189,2024-11-16 00:51:58,SHIPPED,North
O00412,C916,2025-04-07 13:46:18,RETURNED,East
O00413,C169,2024-12-18 02:58:58,RETURNED,South
O00414,C544,2024-10-10 18:00:50,DELIVERED,South
O00415,C658,2025-06-14 01:23:42,RETURNED,South
O00416,C847,2026-06-05 23:49:23,DELIVERED,South
O00417,C031,2026-01-28 17:36:31,DELIVERED,South
O00418,C563,2025-10-25 02:46:15,CANCELLED,North
O00419,C555,2026-06-26 21:33:37,PLACED,North
O00420,Unknown,2026-06-03 07:45:27,SHIPPED,South
O00421,C126,2026-05-19 14:51:44,PLACED,East
O00422,C838,2024-07-17 10:42:52,RETURNED,South
O00423,C264,2025-07-13 07:06:47,SHIPPED,East
O00424,C602,2026-02-19 03:16:57,PLACED,East
O00425,C316,2024-10-11 10:42:09,SHIPPED,North
O00426,C447,2026-05-16 06:25:01,DELIVERED,East
O00427,C468,2025-06-01 18:01:36,RETURNED,East
O00428,C929,2024-12-24 12:27:27,CANCELLED,West
O00429,C725,2025-03-09 09:59:58,CANCELLED,North
O00430,C976,2024-12-22 21:40:07,RETURNED,West
O00431,C961,2024-08-31 13:03:27,PLACED,South
O00432,C091,2026-02-22 18:19:46,DELIVERED,West
O00433,C285,2025-07-11 18:43:14,CANCELLED,West
O00434,C872,2025-12-06 03:50:30,SHIPPED,West
O00435,C121,2024-08-04 10:19:20,CANCELLED,East
O00436,C913,2026-02-19 08:13:11,SHIPPED,East
O00437,C529,2025-09-20 08:15:04,RETURNED,East
O00438,C027,2024-12-03 05:00:53,SHIPPED,South
O00439,C472,2026-02-03 07:17:00,RETURNED,North
O00440,C618,2026-03-15 04:44:09,PLACED,West
O00441,C823,2026-01-31 16:08:54,PLACED,West
O00442,C284,2025-09-28 13:10:52,PLACED,East
O00443,C404,2025-12-27 18:49:34,RETURNED,West
O00444,C156,2026-01-18 07:07:49,DELIVERED,West
O00445,C165,2026-01-13 09:06:04,CANCELLED,West
O00446,C607,2025-04-19 23:37:15,CANCELLED,North
O00447,C180,2024-09-11 04:30:33,DELIVERED,North
O00448,C237,2025-02-18 07:54:07,DELIVERED,East
O00449,C379,2024-12-03 22:06:34,DELIVERED,North
O00450,C160,2026-06-09 18:10:05,RETURNED,South
O00451,C589,2024-11-20 21:25:08,RETURNED,South
O00452,C135,2026-02-23 08:35:19,RETURNED,West
O00453,C231,2026-04-18 16:52:08,SHIPPED,East
O00454,C369,2025-03-28 18:47:05,CANCELLED,North
O00455,C497,2025-09-28 18:42:42,RETURNED,East
O00456,C643,2025-03-16 17:52:14,DELIVERED,South
O00457,C903,2025-02-20 03:03:28,PLACED,North
O00458,C726,2025-03-08 06:22:16,DELIVERED,South
O00459,C111,2026-02-20 01:10:26,DELIVERED,South
O00460,C577,2025-11-27 21:04:51,SHIPPED,North
O00461,C523,2026-01-28 21:36:27,SHIPPED,North
O00462,C174,2025-03-01 02:10:09,PLACED,West
O00463,C276,2024-09-11 16:20:29,DELIVERED,West
O00464,C581,2025-01-11 05:39:30,CANCELLED,North
O00465,C630,2025-07-23 17:38:07,RETURNED,East
O00466,C086,2024-09-02 20:22:44,PLACED,North
O00467,C498,2025-06-21 10:46:48,DELIVERED,West
O00468,C315,2024-08-02 00:00:34,RETURNED,North
O00469,C382,2025-01-01 01:05:01,RETURNED,South
O00470,C065,2024-12-05 06:48:39,CANCELLED,West
O00471,C575,2025-01-12 14:16:30,DELIVERED,North
O00472,C139,2024-08-15 05:01:32,PLACED,South
O00473,C097,2025-05-10 09:25:19,SHIPPED,North
O00474,C742,2026-01-11 14:57:12,SHIPPED,West
O00475,C288,2024-07-25 09:59:42,PLACED,East
O00476,C314,2025-04-20 15:07:37,CANCELLED,South
O00477,C032,2025-12-04 03:55:17,PLACED,North
O00478,C770,2025-09-06 00:37:32,RETURNED,West
O00479,C546,2025-08-13 00:02:40,CANCELLED,South
O00480,C059,2026-04-02 17:38:59,SHIPPED,East
O00481,C886,2025-05-27 10:48:34,PLACED,West
O00482,C616,2025-12-23 13:13:06,RETURNED,South
O00483,Unknown,2024-12-07 05:51:24,RETURNED,North
O00484,C507,2026-03-11 06:10:10,RETURNED,East
O00485,C059,2025-04-17 10:09:29,RETURNED,South
O00486,Unknown,2026-04-18 17:39:27,PLACED,North
O00487,C392,2025-06-10 21:03:47,SHIPPED,South
O00488,C638,2025-04-28 00:12:40,RETURNED,West
O00489,C751,2026-01-22 20:19:17,SHIPPED,East
O00490,C550,2024-08-02 01:23:47,PLACED,South
